Date, Accum_CVEs
01/2006, 0
02/2006, 0
03/2006, 0
04/2006, 0
05/2006, 0
06/2006, 0
07/2006, 2
08/2006, 2
09/2006, 2
10/2006, 2
11/2006, 2
12/2006, 2
01/2007, 2
02/2007, 2
03/2007, 2
04/2007, 3
05/2007, 3
06/2007, 3
07/2007, 3
08/2007, 3
09/2007, 3
10/2007, 3
11/2007, 3
12/2007, 3
01/2008, 3
02/2008, 3
03/2008, 3
04/2008, 3
05/2008, 3
06/2008, 3
07/2008, 3
08/2008, 3
09/2008, 3
10/2008, 3
11/2008, 3
12/2008, 3
01/2009, 3
02/2009, 3
03/2009, 3
04/2009, 3
05/2009, 3
06/2009, 3
07/2009, 3
08/2009, 3
09/2009, 3
10/2009, 3
11/2009, 3
12/2009, 3
01/2010, 3
02/2010, 3
03/2010, 3
04/2010, 3
05/2010, 3
06/2010, 3
07/2010, 3
08/2010, 3
09/2010, 3
10/2010, 3
11/2010, 3
12/2010, 3
01/2011, 3
02/2011, 3
03/2011, 3
04/2011, 3
05/2011, 3
06/2011, 3
07/2011, 3
08/2011, 3
09/2011, 3
10/2011, 3
11/2011, 3
12/2011, 3
01/2012, 3
02/2012, 3
03/2012, 3
04/2012, 4
05/2012, 8
06/2012, 8
07/2012, 8
08/2012, 8
09/2012, 9
10/2012, 16
11/2012, 18
12/2012, 21
01/2013, 23
02/2013, 29
03/2013, 34
04/2013, 40
05/2013, 45
06/2013, 48
07/2013, 56
08/2013, 63
09/2013, 71
10/2013, 77
11/2013, 83
12/2013, 88
01/2014, 88
02/2014, 93
03/2014, 96
04/2014, 97
05/2014, 100
06/2014, 104
07/2014, 108
08/2014, 114
09/2014, 115
10/2014, 119
11/2014, 126
12/2014, 127
01/2015, 134
02/2015, 144
03/2015, 164
04/2015, 168
05/2015, 183
06/2015, 195
07/2015, 212
08/2015, 234
09/2015, 253
10/2015, 259
11/2015, 270
12/2015, 280
01/2016, 287
02/2016, 297
03/2016, 310
04/2016, 320
05/2016, 338
06/2016, 350
07/2016, 360
08/2016, 370
09/2016, 385
10/2016, 401
11/2016, 428
12/2016, 435
01/2017, 435
02/2017, 436
03/2017, 475
04/2017, 493
05/2017, 521
06/2017, 584
07/2017, 613
08/2017, 629
09/2017, 662
10/2017, 689
11/2017, 711
12/2017, 728
01/2018, 740
02/2018, 757
03/2018, 784
04/2018, 807
05/2018, 817
06/2018, 825
07/2018, 834
08/2018, 845
09/2018, 866
10/2018, 881
11/2018, 897
12/2018, 905
01/2019, 925
02/2019, 925
03/2019, 925
04/2019, 925
05/2019, 925
06/2019, 925
07/2019, 925
08/2019, 925
09/2019, 926
10/2019, 926
11/2019, 926
12/2019, 926
01/2020, 927
02/2020, 927
03/2020, 927
04/2020, 927
05/2020, 927
06/2020, 927
07/2020, 927
08/2020, 927
09/2020, 927
10/2020, 927
11/2020, 927
12/2020, 927
01/2021, 927
02/2021, 927
03/2021, 927
04/2021, 927
05/2021, 927
06/2021, 927
07/2021, 927
08/2021, 927
09/2021, 927
10/2021, 927
11/2021, 927
12/2021, 927
01/2022, 927
02/2022, 927
03/2022, 927
04/2022, 927
05/2022, 928
06/2022, 928
07/2022, 928
08/2022, 928
09/2022, 928
10/2022, 928
11/2022, 928
12/2022, 928
